PS 2025 Rate Shops & Suggestions - Feb 3
Date,Property,Room Type,Our Rate,Long Beach Lodge,Wickaninnish Inn,Black Rock Resort,Suggested Rate
Day 1,Pacific Sands,Ocean View,$405,$390,$430,$415,$410
Day 2,Pacific Sands,Ocean View,$410,$395,$435,$420,$415
Day 3,Pacific Sands,Ocean View,$415,$400,$440,$425,$420
Day 4,Pacific Sands,Ocean View,$420,$405,$445,$430,$425
Day 5,Pacific Sands,Ocean View,$425,$410,$450,$435,$430
Day 6,Pacific Sands,Ocean View,$430,$415,$455,$440,$435
Day 7,Pacific Sands,Ocean View,$435,$420,$460,$445,$440
Day 8,Pacific Sands,Ocean View,$440,$425,$465,$450,$445
Day 9,Pacific Sands,Ocean View,$445,$430,$470,$455,$450
Day 10,Pacific Sands,Ocean View,$450,$435,$475,$460,$455
Day 11,Pacific Sands,Ocean View,$455,$440,$480,$465,$460
Day 12,Pacific Sands,Ocean View,$460,$445,$485,$470,$465
Day 13,Pacific Sands,Ocean View,$465,$450,$490,$475,$470
Day 14,Pacific Sands,Ocean View,$470,$455,$495,$480,$475
Day 15,Pacific Sands,Ocean View,$475,$460,$500,$485,$480
Day 16,Pacific Sands,Ocean View,$480,$465,$505,$490,$485
Day 17,Pacific Sands,Ocean View,$485,$470,$510,$495,$490
Day 18,Pacific Sands,Ocean View,$490,$475,$515,$500,$495
Day 19,Pacific Sands,Ocean View,$495,$480,$520,$505,$500
Day 20,Pacific Sands,Ocean View,$500,$485,$525,$510,$505
Day 21,Pacific Sands,Ocean View,$505,$490,$530,$515,$510
Day 22,Pacific Sands,Ocean View,$510,$495,$535,$520,$515
Day 23,Pacific Sands,Ocean View,$515,$500,$540,$525,$520
Day 24,Pacific Sands,Ocean View,$520,$505,$545,$530,$525
Day 25,Pacific Sands,Ocean View,$525,$510,$550,$535,$530
Day 26,Pacific Sands,Ocean View,$530,$515,$555,$540,$535
Day 27,Pacific Sands,Ocean View,$535,$520,$560,$545,$540
Day 28,Pacific Sands,Ocean View,$540,$525,$565,$550,$545
Day 29,Pacific Sands,Ocean View,$545,$530,$570,$555,$550
