Pacific Sands Occupancy Report - 2023-2024
Month,Days,Room Nights,Occupancy %,ADR,Revenue
April,30,2500,45%,$450.00,"$1,125,000"
May,31,2600,48%,$465.00,"$1,209,000"
June,30,2700,51%,$480.00,"$1,296,000"
July,31,2800,54%,$495.00,"$1,386,000"
August,31,2900,57%,$510.00,"$1,479,000"
September,30,3000,60%,$525.00,"$1,575,000"
October,31,3100,63%,$540.00,"$1,674,000"
November,30,3200,66%,$555.00,"$1,776,000"
December,31,3300,69%,$570.00,"$1,881,000"
January,31,3400,72%,$585.00,"$1,989,000"
February,28,3500,75%,$600.00,"$2,100,000"
March,31,3600,78%,$615.00,"$2,214,000"
