Pacific Sands Occupancy Report,,,,,
Month,Days,Room Nights,Occupancy %,ADR,Revenue
April,30,2731,62%,$453.64,$1238885
May,31,2780,61%,$526.18,$1462789
June,30,1717,39%,$625.78,$1074463
July,31,3149,69%,$895.43,$2819697
August,31,3202,71%,$912.62,$2922210
September,30,1369,31%,$776.92,$1063608
October,31,1146,25%,$493.29,$565344
November,30,518,12%,$443.06,$229514
December,31,609,13%,$424.65,$258636
January,31,551,12%,$323.71,$178344
February,28,612,15%,$414.27,$253532
March,31,953,21%,$473.63,$451238
