2025/2026 - Pacific Sands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/15/2024,Room Nights,,,,,Revenue,,,,,ADR,,,,,,,,,,,,,,,,,,,,,,,
,This Year,Last Year,LY ACT,% Variance to LY,% VAR to LY ACT/FCST,This Year,Last Year,LY ACT,% Variance to LY,% VAR to LY ACT/FCST,This Year,Last Year,LY ACT,% Variance to LY,% VAR to LY ACT/FCST,,,,,,,,,,,,,,,,,,,
April,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
May,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
June,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
July,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
August,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
September,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
October,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
November,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
December,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
January,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
February,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
March,2500,2600,2600,-4%,-4%,"$1,200,000","$1,250,000","$1,250,000",-4%,-4%,$480.00,$480.77,$480.77,0%,0%,,,,,,,,,,,,,,,,,,,
